miasto,lat,lng,populatio
Chełmno,53.34917,18.42605,19911
Głogów Małopolski,50.156,21.9587,19857
Środa Śląska,51.1703,16.5971,19798
Gmina Miechów,50.35685,20.0322,19780
Bochnia,49.99268,20.41659,19744
Miastko,54.0042,16.9713,19734
Lubicz,53.03151,18.75383,19702
Ozorków,51.9586,19.2967,19685
Sulejówek,52.24447,21.28162,19663
Bieruń,50.08438,19.14328,19639
Ozimek,50.6734,18.2131,19629
Sierakowice,54.34715,17.89433,19593
Pyrzyce,53.1418,14.893,19564
Włoszczowa,50.8573,19.9866,19547
Kruszwica,52.6707,18.3279,19511
Pasłęk,54.0611,19.6668,19502
Barlinek,52.9974,15.2089,19449
Pobiedziska,52.4802,17.2639,19411
Grodków,50.694,17.38,19376
Tomaszów Lubelski,50.4478,23.4264,19365
Kamienna Góra,50.7846,16.0336,19348
Warka,51.7847,21.1763,19269
Niemce,51.3455,22.5596,19254
Ostrów Wielkopolski,51.69388,17.85253,19113
Wronki,52.7089,16.3764,19108
Bystrzyca Kłodzka,50.2953,16.6499,19077
Biskupiec,53.862,20.9522,19036
Żabno,50.1382,20.8767,18992
Chojnice,53.7462,17.59418,18931
Sokołów Podlaski,52.4142,22.234,18924
Jabłonna,52.39362,20.8707,18916
Krasnystaw,50.98496,23.1724,18912
Chodzież,52.9949,16.9157,18877
Szydłowiec,51.2239,20.838,18866
Lubsko,51.779,14.9553,18771
Gostynin,52.42424,19.46258,18720
Stare Babice,52.26748,20.79261,18627
Pionki,51.4717,21.4474,18618
Sztum,53.922,19.0358,18578
Jabłonka,49.50505,19.67219,18570
Międzychód,52.6007,15.8873,18501
Złotów,53.3592,17.045,18441
Pyskowice,50.3915,18.6007,18417
Oświęcim,50.01438,19.24364,18325
Rogoźno,52.7443,17.0031,18265
Nowa Dęba,50.4198,21.754,18190
Pilzno,49.9745,21.2834,18176
Sierpc,52.85323,19.66521,18148
Pawłowice,49.9466,18.6905,18143
Kostrzyn,52.3979,17.223,18095
Siedlce,52.17155,22.37429,18054
Tuchów,49.894,21.0594,18038
Łuków,51.94094,22.27023,18028
Gdów,49.926,20.2121,18024
Konstantynów Łódzki,51.75718,19.31012,18013
Krosno Odrzańskie,52.05634,15.06852,17980
Łochów,52.53137,21.68427,17922
Barczewo,53.8351,20.6908,17920
Kostrzyn nad Odrą,52.61628,14.64042,17918
Sanok,49.57922,22.14572,17913
Hrubieszów,50.8067,23.8904,17903
Nowy Dwór Gdański,54.2119,19.1202,17883
Radlin,50.04118,18.46601,17861
Michałowice,52.1504,20.8398,17826
Wręczyca Wielka,50.8352,18.8988,17786
Olesno,50.876,18.4132,17778
Łańcut,50.0697,22.22457,17777
Śmigiel,52.0101,16.5156,17750
Słupsk,54.48984,16.88441,17724
Mszana Dolna,49.6526,20.117,17574
Zielonka,52.29136,21.29083,17539
Rawa Mazowiecka,51.7582,20.255,17480
Szemud,54.4718,18.2564,17452
Opole Lubelskie,51.1485,21.9696,17413
Ustrzyki Dolne,49.4302,22.5782,17396
Garwolin,51.8959,21.6231,17381
Drezdenko,52.8445,15.8413,17381
Lwówek Śląski,51.11112,15.5866,17346
Wilamowice,49.9195,19.1592,17313
Kłodzko,50.44704,16.57471,17285
Ziębice,50.5924,17.0351,17242
Rabka-Zdrój,49.619,19.9727,17227
Przasnysz,53.0184,20.885,17223
Strzelce Krajeńskie,52.8758,15.5317,17213
Stąporków,51.1442,20.5685,17185
Gorlice,49.65781,21.09739,17183
Sokołów Małopolski,50.2367,22.1196,17144
Świdnica,50.80827,16.46893,17131
Liszki,50.0361,19.7451,17110
Suchy Las,52.5324,16.8752,17100
Braniewo,54.3794,19.8205,17074
Międzyrzec Podlaski,51.98102,22.77689,16925
Biecz,49.7322,21.259,16916
Rokietnica,52.51298,16.74385,16905
Węgorzewo,54.208,21.7489,16878
Solec Kujawski,53.0746,18.2426,16845
Syców,51.3032,17.7294,16834
